,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
0,5.217,46.15577267,315.29553503,5.952,,5.860,5.993,,4.23,5.417,,HD 200310,, 60 Cyg,,,
1,7.33,-12.66792213,102.31612126,6.287,,6.528,6.104,,,7.26,,HD 49699,, KS CMa,,,
2,6.381,2.18620241,259.05941952,5.522,,5.552,5.494,,,6.187,,HD 156208,, V2368 Oph,,,
3,4.81,58.4151983,337.29277091,2.608,3.219,2.865,2.354,,,4.07,,HD 213306,, delta Cep,,,
4,3.527,43.8233072,75.49221855,1.702,,1.880,1.533,,3.86,3.039,,HD 31964,, eps Aur,,,
5,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
6,,,,,,,,,,,,,,1 Del a,,,
7,,,,,,,,,,,,,,1 Del b,,,
8,5.541,64.1961689,1.61058678,5.470,,5.463,5.468,,5.37,5.567,,HD 144,,10 Cas,,,
9,6.08,21.70482363,76.9809852,4.961,,5.197,4.775,,5.51,5.92,,HD 32991,,105 Tau,,,
10,5.00,58.97237189,76.53521493,5.021,,5.424,4.906,,4.31,5.03,,HD 32343,,11 Cam,,,
11,5.949,36.94454052,293.95126733,6.163,,6.072,6.143,,5.42,6.028,,HD 185037,,11 Cyg,,,
12,6.415,71.82390183,229.27453745,2.091,,2.876,1.939,,,5.024,,HD 136726,,11 UMi,,,
13,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
14,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
15,4.750,22.61004811,297.76711756,5.051,,5.388,4.947,,4.13,4.893,,HD 187811,,12 Vul,,,
16,5.642,18.54023076,83.38179818,5.065,,5.160,4.777,,4.94,5.667,,HD 36576,,120 Tau,,,
17,5.664,19.70025573,55.57894623,5.649,,5.635,5.641,,5.22,5.681,,HD 23016,,13 Tau,,,
18,,,,,,,,,,,,,,1342 cyg,,,
19,5.981,41.95339391,342.59072768,5.428,,5.479,5.321,,5.49,5.928,,HD 216200,,14 Lac,,,
20,4.400,9.89575637,100.24441512,5.322,4.88,5.202,5.340,,3.360,4.640,,HD 47839,,15 Mon,,,
21,5.148,-16.48443612,91.2463712,2.105,,2.904,1.671,,,4.974,,HD 41511,,17 Lep,,,
22,5.916,-8.40816541,152.53141493,5.745,,5.723,5.696,,,5.900,,HD 88195,,17 Sex,,,
23,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
24,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
25,5.19,62.27981393,331.2866248,,,,,,4.35,5.11,,HD 209975,,19 Cep,,,
26,,,,,,,,,,,,,,1972 Cyg,,,
27,,,,,,,,,,,,,,199579,,,
28,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,2 Tau,,,
29,5.797,26.47880657,303.00292203,6.054,,5.967,5.998,,5.38,5.903,,HD 192044,,20 Vul,,,
30,4.666,35.24469347,151.85734566,4.046,,4.269,4.004,,,4.488,,HD 87696,,21 LMi,,,
31,,,,,,,,,,,,,,224014,,,
32,5.392,-13.04836762,67.27885559,5.939,,5.870,5.798,,4.48,5.590,,HD 28497,,228 Eri,,,
33,4.113,23.9483559,56.58155768,4.31,4.16,4.233,4.220,,3.70,4.164,,HD 23480,,23 Tau,,,
34,5.009,37.04288592,299.97998237,5.484,,5.413,5.486,,4.33,5.139,,HD 189687,,25 Cyg,,,
35,4.701,1.84644553,81.18677766,5.417,,5.369,5.355,,3.83,4.873,,HD 35439,,25 Ori,,,
36,5.707,21.70292552,331.95959987,5.984,,5.876,5.978,,5.27,5.783,,HD 210129,,25 Peg,,,
37,2.806,24.10513565,56.87115231,2.735,2.88,2.735,2.636,,2.44,2.873,,HD 23630,,25 Tau,,,
38,5.431,24.44609927,305.51429342,5.636,,5.557,5.587,,4.94,5.519,,HD 193911,,25 Vul,,,
39,3.54,24.05341675,57.2905941,3.864,3.65,3.800,3.879,,3.17,3.62,,HD 23850,,27 Tau,,,
40,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,27 Vul,,,
41,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,27Vul,,,
42,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,27vul,,,
43,4.793,36.83962215,302.35674659,5.155,,5.071,5.038,,4.03,4.929,,HD 191610,,28 Cyg,,,
44,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,28 Tau,,,
45,4.917,24.11595814,309.63297565,5.394,,5.287,5.401,,4.35,5.047,,HD 196740,,28 Vul,,,
46,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,28 tau,,,
47,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,28Tau,,,
48,6.600,66.74490559,175.61817201,2.524,,3.143,2.314,,,5.321,,HD 101673,,3 Dra,,,
49,4.72,12.20518412,335.37947961,4.803,,4.818,4.685,,4.07,4.81,,HD 212076,,31 Peg,,,
50,4.964,2.06003779,281.20807583,5.057,,5.012,5.038,,,5.014,,HD 173370,,4 Aql,,,
51,5.64,42.56619261,238.87746735,5.887,,5.821,5.850,,5.23,5.74,,HD 142926,,4 Her,,,
52,4.867,-14.27935817,239.54736956,4.829,,5.098,4.591,,4.58,4.943,,HD 142983,,48 Lib,,,
53,3.967,47.71251193,62.165384,3.899,,3.978,3.796,,3.46,4.003,,HD 25940,,48 Per,,,
54,5.64,42.56619261,238.87746735,5.887,,5.821,5.850,,5.23,5.74,,HD 142926,,4Her,,,
55,4.90,38.18556347,169.7829152,4.518,,4.655,4.460,,,4.80,,HD 98353,,55 UMa,,,
56,4.90,38.18556347,169.7829152,4.518,,4.655,4.460,,,4.80,,HD 98353,,55UMa,,,
57,5.699,-8.50356737,71.0221704,5.647,,5.690,5.452,,4.98,5.775,,HD 30076,,56 Eri,,,
58,4.69,47.52095045,314.95648818,4.46,,4.657,4.345,,3.75,4.74,,HD 200120,,59 Cyg,,,
59,4.69,47.52095045,314.95648818,4.46,,4.657,4.345,,3.75,4.74,,HD 200120,,59Cyg,,,
60,6.111,62.21451602,357.20904382,,,,,,6.11,5.550,,HD 223385,,6 Cas,,,
61,5.139,64.87185614,319.84258436,4.774,,4.828,4.589,,4.56,5.185,,HD 203467,,6 Cep,,,
62,5.217,46.15577267,315.29553503,5.952,,5.860,5.993,,4.23,5.417,,HD 200310,,60 Cyg,,,
63,5.217,46.15577267,315.29553503,5.952,,5.860,5.993,,4.23,5.417,,HD 200310,,60Cyg,,,
64,6.166,-10.26332333,74.96022025,3.552,,4.119,3.592,,,5.399,,HD 32008B,,63 Eri,,,
65,5.562,2.53534756,284.31912416,5.455,,5.425,5.390,,5.29,5.563,,HD 175869,,64 Ser,,,
66,5.562,2.53534756,284.31912416,5.455,,5.425,5.390,,5.29,5.563,,HD 175869,,64Ser,,,
67,4.684,4.36861564,270.06582603,5.079,,4.987,5.030,,3.78,4.784,,HD 164284,,66 Oph,,,
68,4.684,4.36861564,270.06582603,5.079,,4.987,5.030,,3.78,4.784,,HD 164284,,66_Oph,,,
69,4.982,43.94594639,319.61327339,5.107,,5.036,5.114,,4.03,5.043,,HD 203064,,68 Cyg,,,
70,4.63,33.10010086,259.33153152,5.220,,5.115,5.234,,3.87,4.80,,HD 156633,,68 Her,,,
71,,,,,,,,,,,,,,68 u Her,,,
72,4.63,33.10010086,259.33153152,5.220,,5.115,5.234,,3.87,4.80,,HD 156633,,68Her,,,
73,6.231,20.27973926,292.33707131,6.505,,6.439,6.554,,,6.327,,HD 183537,,7 Vul,,,
74,6.231,20.27973926,292.33707131,6.505,,6.439,6.554,,,6.327,,HD 183537,,7VUL,,,
75,6.231,20.27973926,292.33707131,6.505,,6.439,6.554,,,6.327,,HD 183537,,7Vul,,,
76,4.180,54.98795966,201.30640764,3.30,,,,,4.260,4.010,,HD 116842,,80 UMa,,,
77,6.790,48.3941555,267.51389913,6.913,,6.854,6.947,,6.380,6.890,,HD 162732,,88 Her,,,
78,5.007,62.08193957,324.48010288,4.212,,4.543,4.309,,4.49,4.788,,HD 206165,,9 Cep,,,
79,3.33,48.04182614,134.80189007,2.76,2.9,2.78,2.66,3.0,,3.10,,HD 76644,,9 UMa,,,
80,,,,,,,,,,,,,,92922,,,
81,5.149,20.8336313,270.59603444,5.504,,5.400,5.490,,4.57,5.246,,HD 164852,,96 Her,,,
82,5.149,20.8336313,270.59603444,5.504,,5.400,5.490,,4.57,5.246,,HD 164852,,96 her,,,
83,5.149,20.8336313,270.59603444,5.504,,5.400,5.490,,4.57,5.246,,HD 164852,,96Her,,,
84,10.97,19.87001667,154.90115417,4.843,7.8,5.449,4.593,8.6,,9.46,,,,AD Leo,,,
85,11.3,66.80281618,240.42088015,6.365,,7.154,6.209,,,9.82,,,,AG Dra,,,
86,9.81,12.62558939,327.75822552,4.371,,5.001,3.851,,,8.65,,HD 207757,,AG Peg,,,
87,8.46,-1.37579081,103.727951,7.559,,7.781,7.419,,,8.43,,HD 50846,,AU Mon,,,
88,6.97,5.86700136,97.63724132,4.741,,5.147,4.413,,6.43,6.74,,HD 45910,,AX Mon,,,
89,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,Alp Dra,,,
90,0.99,8.8683212,297.6958273,0.102,0.6,0.313,0.102,0.8,,0.77,,HD 187642,,Altair,,,
91,1.19,19.18240916,213.91530029,-2.81,0.40,-2.25,-2.91,0.3,,-0.04,,HD 124897,,Arcturus,,,
92,8.42,5.98813368,296.55650017,8.256,,8.260,8.177,,,8.46,,,,BD+05 4285,,,
93,10.94,9.54940194,11.00549667,7.927,,8.450,7.805,,11.30,10.09,,,,BD+08_102,,,
94,9.10,16.08137662,276.23032826,8.913,,,,,,9.06,,,,BD+16 3492,,,
95,10.04,23.32926528,266.76365375,8.170,,9.075,7.205,,,10.01,,,,BD+23 3183,,,
96,,,,,,,,,,,,,,BD+284211,,,
97,,,,,,,,,,,,,,BD+421552,,,
98,10.31,43.86176389,75.55155833,6.964,,7.255,6.802,,10.55,9.39,,,,BD+43 1168,,,
99,,,,,,,,,,,,,,BD+431168,,,
100,9.55,49.06786458,329.48062303,9.222,,9.236,9.200,,,9.45,,,,BD+48 3561,,,
101,6.288,-8.84234472,302.79198842,6.933,,6.793,6.947,,5.42,6.445,,HD 191639,,BE Cap,,,
102,4.621,65.65229172,49.99696946,5.074,,5.048,5.048,,3.92,4.728,,HD 20336,,BK Cam,,,
103,6.712,16.90424866,114.27388616,7.071,,7.044,6.965,,5.51,6.921,,HD 60848,,BN Gem,,,
104,7.36,7.9665665,114.71242968,5.598,,6.048,5.451,,,7.15,,HD 61273,,BR CMi,,,
105,7.36,7.9665665,114.71242968,5.598,,6.048,5.451,,,7.15,,HD 61273,,BR Cmi,,,
106,,,,,,,,,,,,,,BRCMi,,,
107,7.62,2.95084532,119.26664369,7.917,,8.020,7.806,,6.93,7.77,,HD 65079,,BT CMi,,,
108,,,,,,,,,,,,,,BU 28 Tau,,,
109,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,BU Tau,,,
110,7.26,35.92974813,219.28672833,6.726,,6.788,6.692,,,7.133,,HD 128661,,BW Boo,,,
111,,,,,,,,,,,,,,BWBoo,,,
112,3.52,33.36266944,282.5199802,3.351,,3.367,3.192,,2.85,3.52,,HD 174638,,Bet Lyr,,,
113,,,,,,,,,,,,,,BetLyr,,,
114,3.52,33.36266944,282.5199802,3.351,,3.367,3.192,,2.85,3.52,,HD 174638,,Beta Lyr,,,
115,,,,,,,,,,,,,,BetaLyr,,,
116,10.16,50.24142396,291.13778223,0.051,5.345,1.073,-0.419,,,8.84,,HD 182917,,CH Cyg,,,
117,12.41,55.99936111,64.9255875,5.74,9.99,7.502,4.323,10.79,12.13,11.77,,,,CI Cam,,,
118,11.97,35.68416884,297.54931364,4.760,,5.761,4.406,,,10.79,,,,CI Cyg,,,
119,6.387,57.2076046,205.08910713,6.211,,6.152,6.197,,,6.286,,HD 119213,,CQ UMa,,,
120,6.387,57.2076046,205.08910713,6.211,,6.152,6.197,,,6.286,,HD 119213,,CQ Uma,,,
121,,,,,,,,,,,,,,CQUMa,,,
122,,36.69361111,315.576125,,,,,,,,,,,CRL 2688,,,
123,8.09,55.17085675,54.50431811,6.29,,6.406,6.042,,9.546,7.69,,HD 22298,,CT Cam,,,
124,5.80,52.98796187,281.67953536,5.805,,5.870,5.786,,5.06,5.90,,HD 174237,,CX Dra,,,
125,,,,,,,,,,,,,,CXDra,,,
126,4.996,32.19202092,83.18197132,4.077,,4.246,3.999,,4.64,4.744,,HD 36371,,Chi Aur,,,
127,,,,,,,,,,,,,,Cyg X 1,,,
128,9.62,35.20160509,299.59031645,6.652,,6.872,6.501,8.42,9.38,8.90,,HD 226868,,Cyg X-1,,,
129,,,,,,,,,,,,,,Cyg X1,,,
130,,,,,,,,,,,,,,CygX-1,,,
131,,,,,,,,,,,,,,CygX1,,,
132,8.46,24.27799733,283.35933236,8.397,,8.390,8.450,,,8.47,,HD 175227,,DI Her,,,
133,6.64,46.47684467,178.77395519,,,,,,,6.54,,HD 103483,,DN UMa,,,
134,6.64,46.47684467,178.77395519,,,,,,,6.54,,HD 103483,,DN Uma,,,
135,,,,,,,,,,,,,,DNUMa,,,
136,8.94,26.75044194,303.44520292,8.132,,8.099,8.115,,,8.71,,HD 339770,,DR Vul,,,
137,,,,,,,,,,,,,,DRVul,,,
138,2.01,-0.29909511,83.00166706,2.981,,2.744,3.023,,0.96,2.41,,HD 36486,,Del Ori,,,
139,,,,,,,,,,,,,,Draobject CX Dra,,,
140,11.1,55.75671778,332.34482083,9.219,,9.601,8.555,,10.88,10.9,,,,EE Cep,,,
141,6.359,69.53128987,284.71927919,6.831,,6.753,6.881,,5.84,6.498,,HD 177410,,EE Dra,,,
142,7.20,62.6144278,328.45043134,,,,,,6.74,7.03,,HD 208392,,EM  Cep,,,
143,7.20,62.6144278,328.45043134,,,,,,6.74,7.03,,HD 208392,,EM Cep,,,
144,5.439,41.60387327,344.09845692,6.005,,5.879,6.031,,4.61,5.584,,HD 216916,,EN Lac,,,
145,,,,,,,,,,,,,,EUVE0702+129,,,
146,,,,,,,,,,,,,,EUVEJ0702+129,,,
147,4.45,-26.35250867,108.56338299,4.977,,5.040,4.880,,3.76,4.65,,HD 56014,,EW CMa,,,
148,5.33,48.6840694,344.26875907,,,,,,4.81,5.42,,HD 217050,,EW Lac,,,
149,,,,,,,,,,,,,,EWLac,,,
150,2.733,40.01021532,59.46346687,,,,,,1.73,2.901,,HD 24760,,Eps Per,,,
151,,,,,,,,,,,,,,FBS0742+625,,,
152,,,,,,,,,,,,,,FBS1529+799,,,
153,7.93,81.6824405,116.72022641,,,,,,,7.90,,HD 60062,,FF Cam,,,
154,,,,,,,,,,,,,,FFAqr,,,
155,5.563,-11.77323964,95.35297972,,,,,,4.77,5.585,,HD 44458,,FR CMa,,,
156,8.09,-13.05309308,97.07259139,6.347,,7.242,4.778,,6.89,8.05,,HD 45677,,FS CMa,,,
157,8.09,-13.05309308,97.07259139,6.347,,7.242,4.778,,6.89,8.05,,HD 45677,,FS Cma,,,
158,6.343,-22.11906116,105.08067979,6.987,,6.884,6.988,,5.54,6.513,,HD 52437,,FU CMa,,,
159,5.61,-23.84071975,106.84411253,5.844,,5.862,5.641,,4.72,5.71,,HD 54309,,FV CMa,,,
160,5.16,-16.20147261,111.16744754,5.456,,5.418,5.417,,4.68,5.20,,HD 58343,,FW CMa,,,
161,5.45,-23.08602157,111.74784261,5.378,,5.477,5.14,,4.51,5.56,,HD 58978,,FY CMa,,,
162,10.26,25.0666335,189.34798769,11.270,10.809,11.157,11.367,10.642,9.117,10.59,,,,Feige66,,,
163,,,,,,,,,,,,,,GALEX 1736+2806,,,
164,,,,,,,,,,,,,,GALEX J0321+4727,,,
165,,,,,,,,,,,,,,GALEX J2349+3844,,,
166,,,,,,,,,,,,,,GALEX0321+4727,,,
167,,,,,,,,,,,,,,GALEX0639+5156,,,
168,,,,,,,,,,,,,,GALEX0716+2319,,,
169,,,,,,,,,,,,,,GALEX0747+6225,,,
170,,,,,,,,,,,,,,GALEX0805-1058,,,
171,,,,,,,,,,,,,,GALEX1017+5516,,,
172,,,,,,,,,,,,,,GALEX1632+8513,,,
173,,,,,,,,,,,,,,GALEX1702+6353,,,
174,,,,,,,,,,,,,,GALEX1717+6757,,,
175,,,,,,,,,,,,,,GALEX1736+2806,,,
176,,,,,,,,,,,,,,GALEX1911+8716,,,
177,,,,,,,,,,,,,,GALEX2349,,,
178,,,,,,,,,,,,,,GALEX2349+3844,,,
179,,,,,,,,,,,,,,GALEXJ0321+4727,,,
180,,,,,,,,,,,,,,GALEXJ0737+3714,,,
181,,,,,,,,,,,,,,GALEXJ1017+5516,,,
182,,,,,,,,,,,,,,GALEXJ1348+4337,,,
183,,,,,,,,,,,,,,GALEXJ1632+8513,,,
184,,,,,,,,,,,,,,GALEXJ1736+2806,,,
185,,,,,,,,,,,,,,GALEXJ2349+3844,,,
186,10.68,64.30323333,354.4304,10.049,,10.095,10.021,10.5,,10.50,,,,GSC 4288-0186,,,
187,10.68,64.30323333,354.4304,10.049,,10.095,10.021,10.5,,10.50,,,,GSC 4288-186,,,
188,8.84,0.62365185,240.00895995,3.249,,4.206,3.001,,,7.18,,HD 143395,,GSC366-878,,,
189,10.46,65.58698694,114.29216375,8.617,,8.899,8.546,,,9.90,,,,GSC4120-1000,,,
190,10.68,64.30323333,354.4304,10.049,,10.095,10.021,10.5,,10.50,,,,GSC4288-0186,,,
191,6.60,-11.30092274,105.45629071,6.156,,6.243,6.038,,5.88,6.58,,HD 52721,,GU CMa,,,
192,6.52,8.67715656,347.38107242,-0.078,,0.841,-0.402,,,5.14,,HD 218634,,GZ Peg,,,
193,2.29,60.71674028,14.17721542,1.993,2.40,2.039,1.756,2.32,1.24,2.47,,HD 5394,,Gam Cas,,,
194,,,,,,,,,,,,,,GamCas,,,
195,2.29,60.71674028,14.17721542,1.993,2.40,2.039,1.756,2.32,1.24,2.47,,HD 5394,,Gamma Cas,,,
196,,,,,,,,,,,,,,GammaCas,,,
197,7.87,54.89747361,201.21601625,6.890,,7.006,6.851,,,7.58,,HD 116798,,HD 116798,,,
198,6.242,58.42360105,32.16907999,4.095,,4.062,3.646,,6.48,5.725,,HD 12953,,HD 12953,,,
199,7.72,49.81987203,34.14998007,7.660,,7.605,7.655,,7.24,7.71,,HD 13867,,HD 13867,,,
200,7.58,43.2137105,239.6069786,6.974,,7.036,6.964,,,7.40,,HD 143418,,HD 143418,,,
201,3.750,46.31336452,244.93515276,,,,,,3.190,3.900,,HD 147394,,HD 147394,,,
202,8.661,-4.01444921,248.5972221,9.461,9.205,9.463,9.418,9.070,7.518,8.943,,HD 149382,,HD 149382,,,
203,8.19,57.49978351,255.89179733,8.130,,8.111,8.073,,,8.18,,HD 154689,,HD 154689,,,
204,8.35,61.4559935,38.17723525,6.609,,6.727,6.519,,9.476,7.95,,HD 15558,,HD 15558,,,
205,10.20,7.24234358,258.09669623,6.249,,6.822,6.090,,,9.04,,HD 155609,,HD 155609,,,
206,7.024,24.46807415,267.50514475,7.281,,7.221,7.241,,,7.103,,HD 162428,,HD 162428,,,
207,10.27,9.80380833,268.23570833,7.296,8.4,7.699,7.164,8.8,,9.36,,HD 162867,,HD 162867,,,
208,3.972,2.93156455,270.16131745,,,,,,3.33,3.974,,HD 164353,,HD 164353,,,
209,6.370,19.50578511,270.11523862,6.566,,6.507,6.552,,5.960,6.430,,HD 164447,,HD 164447,,,
210,8.07,-12.45401333,274.71123667,7.406,,7.418,7.295,,,7.92,,HD 168135,,HD 168135,,,
211,6.894,25.05677798,275.36570639,7.173,,7.084,7.202,,6.35,6.983,,HD 168957,,HD 168957,,,
212,7.80,5.44553806,278.32431524,7.137,,7.112,7.035,,,7.65,,HD 171219,,HD 171219,,,
213,6.437,30.89209017,278.34599403,6.743,,6.630,6.746,,5.96,6.538,,HD 171406,,HD 171406,,,
214,5.984,34.45802211,278.80627165,6.092,,6.063,6.025,,5.44,6.088,,HD 171780,,HD 171780,,,
215,6.859,-0.37343333,281.232975,6.805,,6.798,6.782,,6.56,6.885,,HD 173371,,HD 173371,,,
216,6.908,60.01787008,283.4362367,7.125,,7.070,7.015,,6.40,7.034,,HD 175863,,HD 175863,,,
217,6.249,39.21732252,284.80121578,6.851,,6.748,6.925,,5.52,6.404,,HD 176582,,HD 176582,,,
218,7.320,23.32928185,286.16043394,6.830,,6.838,6.783,,6.85,7.234,,HD 177648,,HD 177648,,,
219,9.96,-3.34118756,287.24517885,8.343,,8.478,8.243,,,9.56,,HD 178515,,HD 178515,,,
220,7.74,43.31532217,286.83327602,6.472,,6.546,6.373,,,7.35,,HD 178615,,HD 178615,,,
221,9.20,44.55740484,287.45625955,8.410,,8.458,8.382,,,8.95,,HD 179259,,HD 179259,,,
222,7.038,2.62258988,288.01365521,6.613,,6.616,6.510,,,6.945,,HD 179343,,HD 179343,,,
223,,,,,,,,,,,,,,HD 179343a,,,
224,,,,,,,,,,,,,,HD 179343b,,,
225,9.694,0.12553598,288.49420361,4.998,,5.371,4.728,8.2,10.81,8.19,,HD 179821,,HD 179821,,,
226,9.855,50.77273357,296.37641985,7.096,8.0,7.473,7.034,8.4,,8.956,,HD 187055,,HD 187055,,,
227,7.40,39.91665139,297.18364458,,,,,,,7.01,,HD 187523,,HD 187523,,,
228,6.097,32.21859774,301.15072789,4.258,,4.416,4.041,,5.76,5.659,,HD 190603,,HD 190603,,,
229,8.54,46.67181886,301.35692536,7.419,,7.579,7.153,,7.82,8.36,,HD 190944,,HD 190944,,,
230,7.15,36.32838182,303.38745898,7.080,,7.133,6.915,,6.39,7.23,,HD 192445,,HD 192445,,,
231,6.488,39.59353978,304.35490363,6.513,,6.509,6.461,,6.25,6.554,,HD 193182,,HD 193182,,,
232,8.13,36.98038083,307.44901541,7.302,,7.304,7.292,,7.47,7.80,,HD 195407,,HD 195407,,,
233,8.110,54.20942335,310.35500918,7.556,,7.582,7.464,,7.860,8.010,,HD 197434,,HD 197434,,,
234,5.167,46.11413399,312.23454662,4.049,,4.182,3.946,,4.8,4.858,,HD 198478,,HD 198478,,,
235,6.615,40.70295947,313.59272704,6.733,,6.694,6.701,,6.22,6.696,,HD 199218,,HD 199218,,,
236,10.00,-23.33975528,48.32046167,8.488,,8.636,8.372,,,9.50,,HD 20120,,HD 20120,,,
237,7.54,60.06749072,49.24896864,7.191,,7.189,7.193,,8.859,7.47,,HD 20134,,HD 20134,,,
238,7.84,47.25704762,317.1234596,8.022,,8.000,8.114,,,7.90,,HD 201522,,HD 201522,,,
239,6.501,34.68850909,49.00775459,5.652,,5.703,5.586,,6.65,6.243,,HD 20210,,HD 20210,,,
240,4.342,39.39468133,319.3539685,3.864,,3.973,3.683,,3.97,4.256,,HD 202850,,HD 202850,,,
241,8.340,53.95149409,319.93725903,7.359,,7.410,7.329,,8.200,8.080,,HD 203356,,HD 203356,,,
242,6.910,61.85845281,319.78066277,,,,,,6.23,6.692,,HD 203374A,,HD 203374,,,
243,8.92,61.27136811,321.08016431,8.572,,8.619,8.564,,,8.80,,HD 204185,,HD 204185,,,
244,7.181,42.70075539,322.90378907,7.153,,7.141,7.120,,,7.219,,HD 205060,,HD 205060,,,
245,8.35,71.41854501,50.8879172,6.856,,6.939,6.729,,,7.94,,HD 20566,,HD 20566,,,
246,7.060,57.73605472,325.60076978,5.91,,6.072,5.567,,6.30,6.927,,HD 206773,,HD 206773,,,
247,6.967,50.67415179,326.51178129,7.085,,6.998,7.071,,,7.033,,HD 207232,,HD 207232,,,
248,7.89,52.12414733,326.64327262,6.805,,6.844,6.751,,7.33,7.60,,HD 207329,,HD 207329,,,
249,8.38,31.52842194,326.92025013,8.497,,8.480,8.489,,,8.44,,HD 207370,,HD 207370,,,
250,7.93,62.60020847,328.47207352,,,,,,7.24,7.91,,HD 208440,,HD 208440,,,
251,5.842,65.3208095,328.87916566,6.141,,6.046,6.159,,5.05,5.939,,HD 208682,,HD 208682,,,
252,7.045,61.29531188,329.32361098,6.848,,6.816,6.899,,6.34,7.005,,HD 208905,,HD 208905,,,
253,8.59,45.52559921,50.9859644,7.770,,7.846,7.733,,,8.40,,HD 20899,,HD 20899,,,
254,8.51,56.71062729,330.16788529,7.12,,7.454,6.462,,,8.29,,HD 209296,,HD 209296,,,
255,6.319,46.93786711,52.3595155,5.90,,5.88,5.903,,,6.227,,HD 21455,,HD 21455,,,
256,6.048,54.41489277,342.19956552,6.303,,6.201,6.310,,5.54,6.131,,HD 216057,,HD 216057,,,
257,6.746,47.8624159,52.88806678,6.754,,6.722,6.766,,6.47,6.773,,HD 21641,,HD 21641,,,
258,7.36,41.72645623,52.81533153,7.206,,7.161,7.189,,,7.33,,HD 21650,,HD 21650,,,
259,6.103,56.94537508,345.02125622,2.631,,2.902,2.298,,,5.101,,HD 217476,,HD 217476,,,
260,8.43,57.22107599,353.46247576,7.903,,7.917,7.853,,,8.32,,HD 221692,,HD 221692,,,
261,5.714,57.49938146,358.59596856,1.915,,2.269,1.670,,,4.517,,HD 224014,,HD 224014,,,
262,6.401,32.38170574,359.70514851,6.769,,6.675,6.791,,5.84,6.524,,HD 224544,,HD 224544,,,
263,6.58,38.85927774,0.00502127,,,,,,,6.62,,HD 224699,,HD 224699,,,
264,7.91,55.55089821,0.86311388,7.225,,7.266,7.090,,7.15,7.95,,HD 225095,,HD 225095,,,
265,6.20,50.73676824,57.07531252,,,,,,5.88,6.15,,HD 23552,,HD 23552,,,
266,6.87,24.28834428,56.87272356,6.641,6.74,6.635,6.607,,,6.81,,HD 23642,,HD 23642,,,
267,8.63,57.72180429,21.77461093,8.102,,8.161,8.014,,,8.54,,HD 236737,,HD 236737,,,
268,7.20,52.48190292,57.60446902,6.115,,6.165,5.997,,8.403,6.98,,HD 23800,,HD 23800,,,
269,9.58,56.71854859,318.02029994,8.591,,8.592,8.550,,,9.28,,HD 239601,,HD 239601,,,
270,9.65,33.31926917,80.66707667,8.417,,8.508,8.374,,9.04,9.40,,HD 242926,,HD 242926,,,
271,9.45,27.22990543,86.1155167,,,,,,8.95,9.37,,HD 246878,,HD 246878,,,
272,7.99,62.39066263,61.85403823,7.807,,7.789,7.771,,,7.91,,HD 25594,,HD 25594,,,
273,7.31,16.64698136,62.76415395,5.884,,5.957,5.762,,,6.98,,HD 26398,,HD 26398,,,
274,9.50,43.57830972,75.29810833,9.327,,9.326,9.321,,,9.47,,HD 277197,,HD 277197,,,
275,8.66,25.80748164,74.89844735,7.002,,7.095,6.878,,,8.30,,HD 284012,,HD 284012,,,
276,4.276,62.93178261,8.24996332,4.148,,4.141,4.013,,3.5,4.189,,HD 2905,,HD 2905,,,
277,4.289,66.3426768,73.51254332,4.380,,4.243,4.242,,3.55,4.301,,HD 30614,,HD 30614,,,
278,7.18,30.55119074,73.94102172,5.062,6.70,5.936,4.230,6.96,7.18,7.06,,HD 31293,,HD 31293,,,
279,7.40,43.32338027,74.83853747,7.445,,7.379,7.457,,6.65,7.40,,HD 31617,,HD 31617,,,
280,8.49,43.43572923,75.39288029,8.411,,8.401,8.422,,7.79,8.49,,HD 31894,,HD 31894,,,
281,7.59,43.72765671,76.13637965,7.702,,7.654,7.705,,,7.64,,HD 32328,,HD 32328,,,
