,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
505,6.261,55.69011743,250.74357906,6.015,,5.978,6.001,,,6.178,,HD 151199,,HR 6226,,,
506,6.328,14.96623232,276.48012376,6.382,,6.360,6.409,,,6.365,,HD 169820,,HR 6906,,,
507,6.446,58.02732219,291.44485732,6.987,,6.881,6.969,,5.88,6.581,,HD 183339,,HR 7401,,,
508,5.447,30.98366509,299.65825683,5.596,,5.507,5.602,,5.22,5.506,,HD 189395,,HR 7640,,,
509,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,HR 7880,,,
510,6.061,38.13174071,45.04956043,6.130,,6.127,6.104,,5.46,6.119,,HD 18552,,HR 894,,,
511,5.479,37.58019741,55.28273945,5.721,,5.617,5.687,,5.09,5.541,,HD 22780,,HR1113,,,
512,7.24,62.33005461,61.96415396,5.949,,6.046,5.929,,6.87,6.86,,HD 25639,,HR1260,,,
513,5.668,34.13075813,66.12148121,5.820,,5.746,5.807,,,5.722,,HD 27777,,HR1377,,,
514,5.876,53.91084583,68.00767612,5.459,,5.426,5.453,,6.41,5.772,,HD 28446,,HR1417,,,
515,6.144,32.45776762,67.66003583,6.219,,6.133,6.195,,,6.171,,HD 28459,,HR1419,,,
516,6.166,-10.26332333,74.96022025,3.552,,4.119,3.592,,,5.399,,HD 32008B,,HR1608,,,
517,6.146,16.70015876,81.5238456,6.303,,6.285,6.371,,5.52,6.229,,HD 35532,,HR1798,,,
518,6.103,17.05812478,83.05892595,6.022,6.050,5.964,6.016,6.037,5.823,6.06,,HD 36408,,HR1847,,,
519,,,,,,,,,,,,,,HR1847 A,,,
520,,,,,,,,,,,,,,HR1847 B,,,
521,,,,,,,,,,,,,,HR1847A,,,
522,,,,,,,,,,,,,,HR1847A+B,,,
523,,,,,,,,,,,,,,HR1847B,,,
524,,,,,,,,,,,,,,HR1847B+A,,,
525,,,,,,,,,,,,,,HR1847a,,,
526,,,,,,,,,,,,,,HR1847b,,,
527,5.172,-6.70893821,91.05625598,,,,,,4.30,5.251,,HD 41335,,HR2142,,,
528,5.653,-2.27204071,102.31837301,5.959,,5.924,5.996,,5.18,5.754,,HD 49643,,HR2521,,,
529,5.980,22.63745753,106.32653916,5.981,,5.922,5.931,,5.890,6.010,,HD 53257,,HR2659,,,
530,6.385,28.17669653,106.85365784,6.618,,6.518,6.584,,,6.458,,HD 53744,,HR2669,,,
531,1.24,11.96720878,152.09296244,1.658,1.5,1.665,1.62,1.4,,1.40,,HD 87901,,HR3982,,,
532,4.187,42.43704042,248.5257639,,,,,,,4.200,,HD 149630,,HR6168,,,
533,6.117,22.9232274,270.62564143,6.384,,6.305,6.416,,,6.208,,HD 164900,,HR6741,,,
534,6.093,1.9189917,271.15565384,6.224,,6.148,6.237,,5.23,6.150,,HD 165174,,HR6747,,,
535,6.356,31.6176115,280.42213013,6.442,,6.387,6.440,,,6.403,,HD 172958,,HR7030,,,
536,5.467,23.02554234,289.43181895,5.413,,5.337,5.399,,4.64,5.477,,HD 180968,,HR7318,,,
537,6.446,58.02732219,291.44485732,6.987,,6.881,6.969,,5.88,6.581,,HD 183339,,HR7401,,,
538,6.231,20.27973926,292.33707131,6.505,,6.439,6.554,,,6.327,,HD 183537,,HR7409,,,
539,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,HR7880,,,
540,6.133,-2.41297345,309.80521151,6.395,,6.348,6.356,,5.70,6.221,,HD 196712,,HR7890,,,
541,6.294,19.37563848,321.61109165,5.488,,5.677,5.506,,,6.078,,HD 204188,,HR8210,,,
542,6.294,19.37563848,321.61109165,5.488,,5.677,5.506,,,6.078,,HD 204188,,IK Peg,,,
543,7.77,48.15124737,59.93615716,7.591,,7.561,7.544,,,7.73,,HD 24909,,IQ Per,,,
544,,,,,,,,,,,,,,IRAS 17+23,,,
545,10.04,23.32926528,266.76365375,8.170,,9.075,7.205,,,10.01,,,,IRAS 17449+2320,,,
546,,,,,,,,,,,,,,IRAS17449,,,
547,,,,,,,,,,,,,,IRAS17449+2320,,,
548,13.98,11.35465,291.70039583,4.544,,5.466,3.612,,,11.66,,,,IRC +10420,,,
549,,,,,,,,,,,,,,IRC+10420,,,
550,8.57,34.7828472,81.96833559,7.604,,7.628,7.590,,7.91,8.39,,HD 35652,,IU Aur,,,
551,,,,,,,,,,,,,,Jupiter,,,
552,6.76,-14.95436828,97.62410696,6.720,,6.722,6.737,,,6.77,,HD 46035,,KL CMa,,,
553,11.3,54.15333333,332.59625,,,,,,,,,,,KL Cep,,,
554,7.33,-12.66792213,102.31612126,6.287,,6.528,6.104,,,7.26,,HD 49699,,KS CMa,,,
555,7.41,50.19235728,346.77588476,,,,,,7.02,7.02,,HD 218393,,KX And,,,
556,6.713,49.65061347,347.31977155,6.772,,6.708,6.726,,6.17,6.758,,** HDS 3296,,KY And,,,
557,3.766,69.78823584,188.37059686,3.908,,3.823,3.820,,3.17,3.881,,HD 109387,,Kap Dra,,,
558,4.080,35.79103145,59.74125955,4.070,,3.987,3.953,,3.190,4.060,,HD 24912,,Ksi Per,,,
559,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,Ksi Tau,,,
560,6.732,-2.51712577,127.12146957,5.632,6.06,5.771,5.583,,,6.420,,HD 71663,,LO Hya,,,
561,6.450,46.41317799,359.69349707,6.617,,6.588,6.545,,5.84,6.542,,HD 224559,,LQ And,,,
562,7.34,-12.28815835,106.01092076,7.722,,7.628,7.704,,6.74,7.44,,HD 53303,,LT CMa,,,
563,6.96,35.3750249,82.42770843,6.667,,6.695,6.654,,6.23,6.85,,HD 35921,,LY Aur,,,
564,7.370,15.87267015,304.29073608,7.602,,7.544,7.498,,6.990,7.470,,HD 192954,,LZ Del,,,
565,13.28,15.28118118,94.68966086,7.840,,8.762,6.623,,12.89,11.95,,,,MWC 137,,,
566,11.5,39.49723833,305.76505708,5.800,,6.979,4.679,,11.62,10.6,,,,MWC 342,,,
567,8.05,-12.24258122,274.52456043,5.315,,5.520,5.138,,7.87,7.45,,HD 167971,,MY Ser,,,
568,,,,,,,,,,,,,,MYSer,,,
569,11.2,53.68333333,337.00708333,,,,,,,,,,,MZ Lac,,,
570,,,,,,,,,,,,,,N Vul 07,,,
571,17.76,20.88127778,298.60254167,,,,,17.9,,15.96,,,,N Vul 2007,,,
572,13.53,40.76458333,305.79104167,,,,,,,12.71,,,,NGC 6910 37,,,
573,,,,,,,,,,,,,,NGC 6910 Webda 37,,,
574,,,,,,,,,,,,,,NGC 6910 Wedba 5,,,
575,,,,,,,,,,,,,,NGC1502 Webda 7,,,
